Element;Node-1;Node-2;Node-3;Node-4
0;31;32;255;219
1;32;33;256;255
2;33;0;34;256
3;219;255;257;218
4;255;256;258;257
5;256;34;35;258
6;218;257;259;217
7;257;258;260;259
8;258;35;36;260
9;217;259;261;216
10;259;260;262;261
11;260;36;37;262
12;216;261;263;215
13;261;262;264;263
14;262;37;38;264
15;215;263;265;214
16;263;264;266;265
17;264;38;39;266
18;214;265;267;213
19;265;266;268;267
20;266;39;40;268
21;213;267;269;212
22;267;268;270;269
23;268;40;41;270
24;212;269;271;211
25;269;270;272;271
26;270;41;42;272
27;211;271;273;210
28;271;272;274;273
29;272;42;43;274
30;210;273;275;209
31;273;274;276;275
32;274;43;44;276
33;209;275;277;208
34;275;276;278;277
35;276;44;45;278
36;208;277;279;207
37;277;278;280;279
38;278;45;46;280
39;207;279;281;206
40;279;280;282;281
41;280;46;47;282
42;206;281;283;205
43;281;282;284;283
44;282;47;48;284
45;205;283;285;204
46;283;284;286;285
47;284;48;49;286
48;204;285;287;203
49;285;286;288;287
50;286;49;50;288
51;203;287;289;202
52;287;288;290;289
53;288;50;51;290
54;202;289;291;201
55;289;290;292;291
56;290;51;52;292
57;201;291;293;200
58;291;292;294;293
59;292;52;53;294
60;200;293;295;199
61;293;294;296;295
62;294;53;54;296
63;199;295;297;198
64;295;296;298;297
65;296;54;55;298
66;198;297;299;197
67;297;298;300;299
68;298;55;56;300
69;197;299;301;196
70;299;300;302;301
71;300;56;57;302
72;196;301;303;195
73;301;302;304;303
74;302;57;58;304
75;195;303;194;192
76;303;304;193;194
77;304;58;59;193
78;59;1;60;193
79;193;60;61;194
80;194;61;62;192
81;62;63;229;192
82;63;64;228;229
83;64;65;227;228
84;65;66;226;227
85;66;67;225;226
86;67;68;224;225
87;68;69;223;224
88;69;70;222;223
89;70;71;221;222
90;71;72;220;221
91;72;2;73;220
92;73;74;305;220
93;74;75;306;305
94;75;76;307;306
95;76;77;308;307
96;77;78;309;308
97;78;79;310;309
98;79;80;311;310
99;80;81;312;311
100;81;82;313;312
101;82;83;314;313
102;83;84;315;314
103;84;85;316;315
104;85;86;317;316
105;86;87;318;317
106;87;88;319;318
107;88;89;320;319
108;89;90;321;320
109;90;91;322;321
110;91;92;323;322
111;92;93;324;323
112;93;94;325;324
113;94;95;326;325
114;95;96;327;326
115;96;97;328;327
116;97;98;329;328
117;98;3;99;329
118;220;305;330;221
119;305;306;331;330
120;306;307;332;331
121;307;308;333;332
122;308;309;334;333
123;309;310;335;334
124;310;311;336;335
125;311;312;337;336
126;312;313;338;337
127;313;314;339;338
128;314;315;340;339
129;315;316;341;340
130;316;317;342;341
131;317;318;343;342
132;318;319;344;343
133;319;320;345;344
134;320;321;346;345
135;321;322;347;346
136;322;323;348;347
137;323;324;349;348
138;324;325;350;349
139;325;326;351;350
140;326;327;352;351
141;327;328;353;352
142;328;329;354;353
143;329;99;100;354
144;221;330;355;222
145;330;331;356;355
146;331;332;357;356
147;332;333;358;357
148;333;334;359;358
149;334;335;360;359
150;335;336;361;360
151;336;337;362;361
152;337;338;363;362
153;338;339;364;363
154;339;340;365;364
155;340;341;366;365
156;341;342;367;366
157;342;343;368;367
158;343;344;369;368
159;344;345;370;369
160;345;346;371;370
161;346;347;372;371
162;347;348;373;372
163;348;349;374;373
164;349;350;375;374
165;350;351;376;375
166;351;352;377;376
167;352;353;378;377
168;353;354;379;378
169;354;100;101;379
170;222;355;380;223
171;355;356;381;380
172;356;357;382;381
173;357;358;383;382
174;358;359;384;383
175;359;360;385;384
176;360;361;386;385
177;361;362;387;386
178;362;363;388;387
179;363;364;389;388
180;364;365;390;389
181;365;366;391;390
182;366;367;392;391
183;367;368;393;392
184;368;369;394;393
185;369;370;395;394
186;370;371;396;395
187;371;372;397;396
188;372;373;398;397
189;373;374;399;398
190;374;375;400;399
191;375;376;401;400
192;376;377;402;401
193;377;378;403;402
194;378;379;404;403
195;379;101;102;404
196;223;380;405;224
197;380;381;406;405
198;381;382;407;406
199;382;383;408;407
200;383;384;409;408
201;384;385;410;409
202;385;386;411;410
203;386;387;412;411
204;387;388;413;412
205;388;389;414;413
206;389;390;415;414
207;390;391;416;415
208;391;392;417;416
209;392;393;418;417
210;393;394;419;418
211;394;395;420;419
212;395;396;421;420
213;396;397;422;421
214;397;398;423;422
215;398;399;424;423
216;399;400;425;424
217;400;401;426;425
218;401;402;427;426
219;402;403;428;427
220;403;404;429;428
221;404;102;103;429
222;224;405;430;225
223;405;406;431;430
224;406;407;432;431
225;407;408;433;432
226;408;409;434;433
227;409;410;435;434
228;410;411;436;435
229;411;412;437;436
230;412;413;438;437
231;413;414;439;438
232;414;415;440;439
233;415;416;441;440
234;416;417;442;441
235;417;418;443;442
236;418;419;444;443
237;419;420;445;444
238;420;421;446;445
239;421;422;447;446
240;422;423;448;447
241;423;424;449;448
242;424;425;450;449
243;425;426;451;450
244;426;427;452;451
245;427;428;453;452
246;428;429;454;453
247;429;103;104;454
248;225;430;455;226
249;430;431;456;455
250;431;432;457;456
251;432;433;458;457
252;433;434;459;458
253;434;435;460;459
254;435;436;461;460
255;436;437;462;461
256;437;438;463;462
257;438;439;464;463
258;439;440;465;464
259;440;441;466;465
260;441;442;467;466
261;442;443;468;467
262;443;444;469;468
263;444;445;470;469
264;445;446;471;470
265;446;447;472;471
266;447;448;473;472
267;448;449;474;473
268;449;450;475;474
269;450;451;476;475
270;451;452;477;476
271;452;453;478;477
272;453;454;479;478
273;454;104;105;479
274;226;455;480;227
275;455;456;481;480
276;456;457;482;481
277;457;458;483;482
278;458;459;484;483
279;459;460;485;484
280;460;461;486;485
281;461;462;487;486
282;462;463;488;487
283;463;464;489;488
284;464;465;490;489
285;465;466;491;490
286;466;467;492;491
287;467;468;493;492
288;468;469;494;493
289;469;470;495;494
290;470;471;496;495
291;471;472;497;496
292;472;473;498;497
293;473;474;499;498
294;474;475;500;499
295;475;476;501;500
296;476;477;502;501
297;477;478;503;502
298;478;479;504;503
299;479;105;106;504
300;227;480;505;228
301;480;481;506;505
302;481;482;507;506
303;482;483;508;507
304;483;484;509;508
305;484;485;510;509
306;485;486;511;510
307;486;487;512;511
308;487;488;513;512
309;488;489;514;513
310;489;490;515;514
311;490;491;516;515
312;491;492;517;516
313;492;493;518;517
314;493;494;519;518
315;494;495;520;519
316;495;496;521;520
317;496;497;522;521
318;497;498;523;522
319;498;499;524;523
320;499;500;525;524
321;500;501;526;525
322;501;502;527;526
323;502;503;528;527
324;503;504;529;528
325;504;106;107;529
326;228;505;530;229
327;505;506;531;530
328;506;507;532;531
329;507;508;533;532
330;508;509;534;533
331;509;510;535;534
332;510;511;536;535
333;511;512;537;536
334;512;513;538;537
335;513;514;539;538
336;514;515;540;539
337;515;516;541;540
338;516;517;542;541
339;517;518;543;542
340;518;519;544;543
341;519;520;545;544
342;520;521;546;545
343;521;522;547;546
344;522;523;548;547
345;523;524;549;548
346;524;525;550;549
347;525;526;551;550
348;526;527;552;551
349;527;528;553;552
350;528;529;554;553
351;529;107;108;554
352;229;530;254;192
353;530;531;253;254
354;531;532;252;253
355;532;533;251;252
356;533;534;250;251
357;534;535;249;250
358;535;536;248;249
359;536;537;247;248
360;537;538;246;247
361;538;539;245;246
362;539;540;244;245
363;540;541;243;244
364;541;542;242;243
365;542;543;241;242
366;543;544;240;241
367;544;545;239;240
368;545;546;238;239
369;546;547;237;238
370;547;548;236;237
371;548;549;235;236
372;549;550;234;235
373;550;551;233;234
374;551;552;232;233
375;552;553;231;232
376;553;554;230;231
377;554;108;109;230
378;109;110;555;230
379;110;111;556;555
380;111;112;557;556
381;112;113;558;557
382;113;114;559;558
383;114;115;560;559
384;115;116;561;560
385;116;117;562;561
386;117;118;563;562
387;118;119;564;563
388;119;120;565;564
389;120;121;566;565
390;121;122;567;566
391;122;123;568;567
392;123;124;569;568
393;124;125;570;569
394;125;126;571;570
395;126;127;572;571
396;127;128;573;572
397;128;129;574;573
398;129;130;575;574
399;130;131;576;575
400;131;132;577;576
401;132;133;578;577
402;133;134;579;578
403;134;4;6;579
404;230;555;580;231
405;555;556;581;580
406;556;557;582;581
407;557;558;583;582
408;558;559;584;583
409;559;560;585;584
410;560;561;586;585
411;561;562;587;586
412;562;563;588;587
413;563;564;589;588
414;564;565;590;589
415;565;566;591;590
416;566;567;592;591
417;567;568;593;592
418;568;569;594;593
419;569;570;595;594
420;570;571;596;595
421;571;572;597;596
422;572;573;598;597
423;573;574;599;598
424;574;575;600;599
425;575;576;601;600
426;576;577;602;601
427;577;578;603;602
428;578;579;604;603
429;579;6;7;604
430;231;580;605;232
431;580;581;606;605
432;581;582;607;606
433;582;583;608;607
434;583;584;609;608
435;584;585;610;609
436;585;586;611;610
437;586;587;612;611
438;587;588;613;612
439;588;589;614;613
440;589;590;615;614
441;590;591;616;615
442;591;592;617;616
443;592;593;618;617
444;593;594;619;618
445;594;595;620;619
446;595;596;621;620
447;596;597;622;621
448;597;598;623;622
449;598;599;624;623
450;599;600;625;624
451;600;601;626;625
452;601;602;627;626
453;602;603;628;627
454;603;604;629;628
455;604;7;8;629
456;232;605;630;233
457;605;606;631;630
458;606;607;632;631
459;607;608;633;632
460;608;609;634;633
461;609;610;635;634
462;610;611;636;635
463;611;612;637;636
464;612;613;638;637
465;613;614;639;638
466;614;615;640;639
467;615;616;641;640
468;616;617;642;641
469;617;618;643;642
470;618;619;644;643
471;619;620;645;644
472;620;621;646;645
473;621;622;647;646
474;622;623;648;647
475;623;624;649;648
476;624;625;650;649
477;625;626;651;650
478;626;627;652;651
479;627;628;653;652
480;628;629;654;653
481;629;8;9;654
482;233;630;655;234
483;630;631;656;655
484;631;632;657;656
485;632;633;658;657
486;633;634;659;658
487;634;635;660;659
488;635;636;661;660
489;636;637;662;661
490;637;638;663;662
491;638;639;664;663
492;639;640;665;664
493;640;641;666;665
494;641;642;667;666
495;642;643;668;667
496;643;644;669;668
497;644;645;670;669
498;645;646;671;670
499;646;647;672;671
500;647;648;673;672
501;648;649;674;673
502;649;650;675;674
503;650;651;676;675
504;651;652;677;676
505;652;653;678;677
506;653;654;679;678
507;654;9;10;679
508;234;655;680;235
509;655;656;681;680
510;656;657;682;681
511;657;658;683;682
512;658;659;684;683
513;659;660;685;684
514;660;661;686;685
515;661;662;687;686
516;662;663;688;687
517;663;664;689;688
518;664;665;690;689
519;665;666;691;690
520;666;667;692;691
521;667;668;693;692
522;668;669;694;693
523;669;670;695;694
524;670;671;696;695
525;671;672;697;696
526;672;673;698;697
527;673;674;699;698
528;674;675;700;699
529;675;676;701;700
530;676;677;702;701
531;677;678;703;702
532;678;679;704;703
533;679;10;11;704
534;235;680;705;236
535;680;681;706;705
536;681;682;707;706
537;682;683;708;707
538;683;684;709;708
539;684;685;710;709
540;685;686;711;710
541;686;687;712;711
542;687;688;713;712
543;688;689;714;713
544;689;690;715;714
545;690;691;716;715
546;691;692;717;716
547;692;693;718;717
548;693;694;719;718
549;694;695;720;719
550;695;696;721;720
551;696;697;722;721
552;697;698;723;722
553;698;699;724;723
554;699;700;725;724
555;700;701;726;725
556;701;702;727;726
557;702;703;728;727
558;703;704;729;728
559;704;11;12;729
560;236;705;730;237
561;705;706;731;730
562;706;707;732;731
563;707;708;733;732
564;708;709;734;733
565;709;710;735;734
566;710;711;736;735
567;711;712;737;736
568;712;713;738;737
569;713;714;739;738
570;714;715;740;739
571;715;716;741;740
572;716;717;742;741
573;717;718;743;742
574;718;719;744;743
575;719;720;745;744
576;720;721;746;745
577;721;722;747;746
578;722;723;748;747
579;723;724;749;748
580;724;725;750;749
581;725;726;751;750
582;726;727;752;751
583;727;728;753;752
584;728;729;754;753
585;729;12;13;754
586;237;730;755;238
587;730;731;756;755
588;731;732;757;756
589;732;733;758;757
590;733;734;759;758
591;734;735;760;759
592;735;736;761;760
593;736;737;762;761
594;737;738;763;762
595;738;739;764;763
596;739;740;765;764
597;740;741;766;765
598;741;742;767;766
599;742;743;768;767
600;743;744;769;768
601;744;745;770;769
602;745;746;771;770
603;746;747;772;771
604;747;748;773;772
605;748;749;774;773
606;749;750;775;774
607;750;751;776;775
608;751;752;777;776
609;752;753;778;777
610;753;754;779;778
611;754;13;14;779
612;238;755;780;239
613;755;756;781;780
614;756;757;782;781
615;757;758;783;782
616;758;759;784;783
617;759;760;785;784
618;760;761;786;785
619;761;762;787;786
620;762;763;788;787
621;763;764;789;788
622;764;765;790;789
623;765;766;791;790
624;766;767;792;791
625;767;768;793;792
626;768;769;794;793
627;769;770;795;794
628;770;771;796;795
629;771;772;797;796
630;772;773;798;797
631;773;774;799;798
632;774;775;800;799
633;775;776;801;800
634;776;777;802;801
635;777;778;803;802
636;778;779;804;803
637;779;14;15;804
638;239;780;805;240
639;780;781;806;805
640;781;782;807;806
641;782;783;808;807
642;783;784;809;808
643;784;785;810;809
644;785;786;811;810
645;786;787;812;811
646;787;788;813;812
647;788;789;814;813
648;789;790;815;814
649;790;791;816;815
650;791;792;817;816
651;792;793;818;817
652;793;794;819;818
653;794;795;820;819
654;795;796;821;820
655;796;797;822;821
656;797;798;823;822
657;798;799;824;823
658;799;800;825;824
659;800;801;826;825
660;801;802;827;826
661;802;803;828;827
662;803;804;829;828
663;804;15;16;829
664;240;805;830;241
665;805;806;831;830
666;806;807;832;831
667;807;808;833;832
668;808;809;834;833
669;809;810;835;834
670;810;811;836;835
671;811;812;837;836
672;812;813;838;837
673;813;814;839;838
674;814;815;840;839
675;815;816;841;840
676;816;817;842;841
677;817;818;843;842
678;818;819;844;843
679;819;820;845;844
680;820;821;846;845
681;821;822;847;846
682;822;823;848;847
683;823;824;849;848
684;824;825;850;849
685;825;826;851;850
686;826;827;852;851
687;827;828;853;852
688;828;829;854;853
689;829;16;17;854
690;241;830;855;242
691;830;831;856;855
692;831;832;857;856
693;832;833;858;857
694;833;834;859;858
695;834;835;860;859
696;835;836;861;860
697;836;837;862;861
698;837;838;863;862
699;838;839;864;863
700;839;840;865;864
701;840;841;866;865
702;841;842;867;866
703;842;843;868;867
704;843;844;869;868
705;844;845;870;869
706;845;846;871;870
707;846;847;872;871
708;847;848;873;872
709;848;849;874;873
710;849;850;875;874
711;850;851;876;875
712;851;852;877;876
713;852;853;878;877
714;853;854;879;878
715;854;17;18;879
716;242;855;880;243
717;855;856;881;880
718;856;857;882;881
719;857;858;883;882
720;858;859;884;883
721;859;860;885;884
722;860;861;886;885
723;861;862;887;886
724;862;863;888;887
