Node;X;Y
0.0000000000;8.6252889633;-0.0000000700
1.0000000000;9.5861377716;8.0554704666
2.0000000000;8.0693731308;11.1999998093
3.0000000000;0.0000003600;11.1999998093
4.0000000000;0.0000003600;-0.0000000700
5.0000000000;14.3419990540;-0.0000000700
6.0000000000;0.2979987860;-0.0000000700
7.0000000000;0.5961769819;-0.0000000700
8.0000000000;0.8944429159;-0.0000000700
9.0000000000;1.1927512884;-0.0000000700
10.0000000000;1.4910787344;-0.0000000700
11.0000000000;1.7894157171;-0.0000000700
12.0000000000;2.0877547264;-0.0000000700
13.0000000000;2.3860955238;-0.0000000700
14.0000000000;2.6844363213;-0.0000000700
15.0000000000;2.9827780724;-0.0000000700
16.0000000000;3.2811195850;-0.0000000700
17.0000000000;3.5794622898;-0.0000000700
18.0000000000;3.8778049946;-0.0000000700
19.0000000000;4.1761469841;-0.0000000700
20.0000000000;4.4744896889;-0.0000000700
21.0000000000;4.7728304863;-0.0000000700
22.0000000000;5.0711722374;-0.0000000700
23.0000000000;5.3649773598;-0.0000000700
24.0000000000;5.6607031822;-0.0000000700
25.0000000000;5.9586625099;-0.0000000700
26.0000000000;6.2498154640;-0.0000000700
27.0000000000;6.5466771126;-0.0000000700
28.0000000000;6.8441157341;-0.0000000700
29.0000000000;7.1386733055;-0.0000000700
30.0000000000;7.4358782768;-0.0000000700
31.0000000000;7.7330069542;-0.0000000700
32.0000000000;8.0299768448;-0.0000000700
33.0000000000;8.3268032074;-0.0000000700
34.0000000000;8.6543073654;0.3008241057
35.0000000000;8.6855621338;0.6018275619
36.0000000000;8.7194461823;0.9029101729
37.0000000000;8.7548732758;1.2040299177
38.0000000000;8.7909164429;1.5051687956
39.0000000000;8.8271942139;1.8063124418
40.0000000000;8.8635616302;2.1074485779
41.0000000000;8.8999614716;2.4085493088
42.0000000000;8.9363536835;2.7085199356
43.0000000000;8.9727535248;3.0084915161
44.0000000000;9.0092983246;3.3035850525
45.0000000000;9.0459957123;3.5936651230
46.0000000000;9.0826435089;3.8786039352
47.0000000000;9.1193695068;4.1769580841
48.0000000000;9.1560955048;4.4753122330
49.0000000000;9.1928234100;4.7736663818
50.0000000000;9.2295494080;5.0720205307
51.0000000000;9.2662754059;5.3703746796
52.0000000000;9.3030014038;5.6687288284
53.0000000000;9.3397274017;5.9670829773
54.0000000000;9.3764553070;6.2654371262
55.0000000000;9.4131813049;6.5637912750
56.0000000000;9.4499073029;6.8621454239
57.0000000000;9.4849739075;7.1689834595
58.0000000000;9.5219478607;7.4668951035
59.0000000000;9.5600872040;7.7572078705
60.0000000000;9.3333873749;8.1092481613
61.0000000000;9.0665149689;8.2393007278
62.0000000000;8.7896156311;8.3948001862
63.0000000000;8.5420684814;8.5840663910
64.0000000000;8.3398561478;8.7952213287
