Element;Node-1;Node-2;Node-3;Node-4
0;24;25;192;167
1;25;26;193;192
2;26;0;27;193
3;167;192;194;166
4;192;193;195;194
5;193;27;28;195
6;166;194;196;165
7;194;195;197;196
8;195;28;29;197
9;165;196;198;164
10;196;197;199;198
11;197;29;30;199
12;164;198;200;163
13;198;199;201;200
14;199;30;31;201
15;163;200;202;162
16;200;201;203;202
17;201;31;32;203
18;162;202;204;161
19;202;203;205;204
20;203;32;33;205
21;161;204;206;160
22;204;205;207;206
23;205;33;34;207
24;160;206;208;159
25;206;207;209;208
26;207;34;35;209
27;159;208;210;158
28;208;209;211;210
29;209;35;36;211
30;158;210;212;157
31;210;211;213;212
32;211;36;37;213
33;157;212;214;156
34;212;213;215;214
35;213;37;38;215
36;156;214;216;155
37;214;215;217;216
38;215;38;39;217
39;155;216;218;154
40;216;217;219;218
41;217;39;40;219
42;154;218;220;153
43;218;219;221;220
44;219;40;41;221
45;153;220;222;152
46;220;221;223;222
47;221;41;42;223
48;152;222;224;151
49;222;223;225;224
50;223;42;43;225
51;151;224;226;150
52;224;225;227;226
53;225;43;44;227
54;150;226;228;149
55;226;227;229;228
56;227;44;45;229
57;149;228;230;148
58;228;229;231;230
59;229;45;46;231
60;148;230;147;145
61;230;231;146;147
62;231;46;47;146
63;47;1;48;146
64;146;48;49;147
65;147;49;50;145
66;50;51;173;145
67;51;52;172;173
68;52;53;171;172
69;53;54;170;171
70;54;55;169;170
71;55;56;168;169
72;56;2;57;168
73;57;58;232;168
74;58;59;233;232
75;59;60;234;233
76;60;61;235;234
77;61;62;236;235
78;62;63;237;236
79;63;64;238;237
80;64;65;239;238
81;65;66;240;239
82;66;67;241;240
83;67;68;242;241
84;68;69;243;242
85;69;70;244;243
86;70;71;245;244
87;71;72;246;245
88;72;73;247;246
89;73;74;248;247
90;74;75;249;248
91;75;3;76;249
92;168;232;250;169
93;232;233;251;250
94;233;234;252;251
95;234;235;253;252
96;235;236;254;253
97;236;237;255;254
98;237;238;256;255
99;238;239;257;256
100;239;240;258;257
101;240;241;259;258
102;241;242;260;259
103;242;243;261;260
104;243;244;262;261
105;244;245;263;262
106;245;246;264;263
107;246;247;265;264
108;247;248;266;265
109;248;249;267;266
110;249;76;77;267
111;169;250;268;170
112;250;251;269;268
113;251;252;270;269
114;252;253;271;270
115;253;254;272;271
116;254;255;273;272
117;255;256;274;273
118;256;257;275;274
119;257;258;276;275
120;258;259;277;276
121;259;260;278;277
122;260;261;279;278
123;261;262;280;279
124;262;263;281;280
125;263;264;282;281
126;264;265;283;282
127;265;266;284;283
128;266;267;285;284
129;267;77;78;285
130;170;268;286;171
131;268;269;287;286
132;269;270;288;287
133;270;271;289;288
134;271;272;290;289
135;272;273;291;290
136;273;274;292;291
137;274;275;293;292
138;275;276;294;293
139;276;277;295;294
140;277;278;296;295
141;278;279;297;296
142;279;280;298;297
143;280;281;299;298
144;281;282;300;299
145;282;283;301;300
146;283;284;302;301
147;284;285;303;302
148;285;78;79;303
149;171;286;304;172
150;286;287;305;304
151;287;288;306;305
152;288;289;307;306
153;289;290;308;307
154;290;291;309;308
155;291;292;310;309
156;292;293;311;310
157;293;294;312;311
158;294;295;313;312
159;295;296;314;313
160;296;297;315;314
161;297;298;316;315
162;298;299;317;316
163;299;300;318;317
164;300;301;319;318
165;301;302;320;319
166;302;303;321;320
167;303;79;80;321
168;172;304;322;173
169;304;305;323;322
170;305;306;324;323
171;306;307;325;324
172;307;308;326;325
173;308;309;327;326
174;309;310;328;327
175;310;311;329;328
176;311;312;330;329
177;312;313;331;330
178;313;314;332;331
179;314;315;333;332
180;315;316;334;333
181;316;317;335;334
182;317;318;336;335
183;318;319;337;336
184;319;320;338;337
185;320;321;339;338
186;321;80;81;339
187;173;322;191;145
188;322;323;190;191
189;323;324;189;190
190;324;325;188;189
191;325;326;187;188
192;326;327;186;187
193;327;328;185;186
194;328;329;184;185
195;329;330;183;184
196;330;331;182;183
197;331;332;181;182
198;332;333;180;181
199;333;334;179;180
200;334;335;178;179
201;335;336;177;178
202;336;337;176;177
203;337;338;175;176
204;338;339;174;175
205;339;81;82;174
206;82;83;340;174
207;83;84;341;340
208;84;85;342;341
209;85;86;343;342
210;86;87;344;343
211;87;88;345;344
212;88;89;346;345
213;89;90;347;346
214;90;91;348;347
215;91;92;349;348
216;92;93;350;349
217;93;94;351;350
218;94;95;352;351
219;95;96;353;352
220;96;97;354;353
221;97;98;355;354
222;98;99;356;355
223;99;100;357;356
224;100;101;358;357
225;101;102;359;358
226;102;4;6;359
227;174;340;360;175
228;340;341;361;360
229;341;342;362;361
230;342;343;363;362
231;343;344;364;363
232;344;345;365;364
233;345;346;366;365
234;346;347;367;366
235;347;348;368;367
236;348;349;369;368
237;349;350;370;369
238;350;351;371;370
239;351;352;372;371
240;352;353;373;372
241;353;354;374;373
242;354;355;375;374
243;355;356;376;375
244;356;357;377;376
245;357;358;378;377
246;358;359;379;378
247;359;6;7;379
248;175;360;380;176
249;360;361;381;380
250;361;362;382;381
251;362;363;383;382
252;363;364;384;383
253;364;365;385;384
254;365;366;386;385
255;366;367;387;386
256;367;368;388;387
257;368;369;389;388
258;369;370;390;389
259;370;371;391;390
260;371;372;392;391
261;372;373;393;392
262;373;374;394;393
263;374;375;395;394
264;375;376;396;395
265;376;377;397;396
266;377;378;398;397
267;378;379;399;398
268;379;7;8;399
269;176;380;400;177
270;380;381;401;400
271;381;382;402;401
272;382;383;403;402
273;383;384;404;403
274;384;385;405;404
275;385;386;406;405
276;386;387;407;406
277;387;388;408;407
278;388;389;409;408
279;389;390;410;409
280;390;391;411;410
281;391;392;412;411
282;392;393;413;412
283;393;394;414;413
284;394;395;415;414
285;395;396;416;415
286;396;397;417;416
287;397;398;418;417
288;398;399;419;418
289;399;8;9;419
290;177;400;420;178
291;400;401;421;420
292;401;402;422;421
293;402;403;423;422
294;403;404;424;423
295;404;405;425;424
296;405;406;426;425
297;406;407;427;426
298;407;408;428;427
299;408;409;429;428
300;409;410;430;429
301;410;411;431;430
302;411;412;432;431
303;412;413;433;432
304;413;414;434;433
305;414;415;435;434
306;415;416;436;435
307;416;417;437;436
308;417;418;438;437
309;418;419;439;438
310;419;9;10;439
311;178;420;440;179
312;420;421;441;440
313;421;422;442;441
314;422;423;443;442
315;423;424;444;443
316;424;425;445;444
317;425;426;446;445
318;426;427;447;446
319;427;428;448;447
320;428;429;449;448
321;429;430;450;449
322;430;431;451;450
323;431;432;452;451
324;432;433;453;452
325;433;434;454;453
326;434;435;455;454
327;435;436;456;455
328;436;437;457;456
329;437;438;458;457
330;438;439;459;458
331;439;10;11;459
332;179;440;460;180
333;440;441;461;460
334;441;442;462;461
335;442;443;463;462
336;443;444;464;463
337;444;445;465;464
338;445;446;466;465
339;446;447;467;466
340;447;448;468;467
341;448;449;469;468
342;449;450;470;469
343;450;451;471;470
344;451;452;472;471
345;452;453;473;472
346;453;454;474;473
347;454;455;475;474
348;455;456;476;475
349;456;457;477;476
350;457;458;478;477
351;458;459;479;478
352;459;11;12;479
353;180;460;480;181
354;460;461;481;480
355;461;462;482;481
356;462;463;483;482
357;463;464;484;483
358;464;465;485;484
359;465;466;486;485
360;466;467;487;486
361;467;468;488;487
362;468;469;489;488
363;469;470;490;489
364;470;471;491;490
365;471;472;492;491
366;472;473;493;492
367;473;474;494;493
368;474;475;495;494
369;475;476;496;495
370;476;477;497;496
371;477;478;498;497
372;478;479;499;498
373;479;12;13;499
374;181;480;500;182
375;480;481;501;500
376;481;482;502;501
377;482;483;503;502
378;483;484;504;503
379;484;485;505;504
380;485;486;506;505
381;486;487;507;506
382;487;488;508;507
383;488;489;509;508
384;489;490;510;509
385;490;491;511;510
386;491;492;512;511
387;492;493;513;512
388;493;494;514;513
389;494;495;515;514
390;495;496;516;515
391;496;497;517;516
392;497;498;518;517
393;498;499;519;518
394;499;13;14;519
395;182;500;520;183
396;500;501;521;520
397;501;502;522;521
398;502;503;523;522
399;503;504;524;523
400;504;505;525;524
401;505;506;526;525
402;506;507;527;526
