Time;X;Y
0;0;0
1;0;515.179
2;0;983.167
3;0;1323.28
4;0;1380.7
5;0;1414.49
6;0;1441.91
7;0;1465.64
8;0;1487.11
9;0;1506.89
10;0;1525.28
11;0;1542.54
12;0;1558.76
13;0;1574.2
14;0;1588.99
15;0;1603.2
16;0;1616.88
17;0;1630.08
18;0;1642.86
19;0;1655.23
20;0;1667.22
21;0;1678.87
22;0;1690.18
23;0;1701.18
24;0;1711.9
25;0;1722.36
26;0;1732.55
27;0;1742.5
28;0;1752.22
29;0;1761.72
30;0;1771.02
31;0;1780.12
32;0;1789.03
33;0;1797.76
34;0;1806.33
35;0;1814.72
36;0;1822.95
37;0;1831.03
38;0;1838.96
39;0;1846.75
40;0;1854.4
41;0;1861.92
42;0;1869.31
43;0;1876.58
44;0;1883.74
45;0;1890.78
46;0;1897.71
47;0;1904.55
48;0;1911.28
49;0;1917.92
50;0;1924.45
51;0;1930.9
52;0;1937.27
53;0;1943.54
54;0;1949.74
55;0;1955.85
56;0;1961.9
57;0;1967.86
58;0;1973.76
59;0;1979.59
60;0;1985.35
61;0;1991.04
62;0;1996.67
63;0;2002.24
64;0;2007.74
65;0;2013.18
66;0;2018.57
67;0;2023.9
68;0;2029.18
69;0;2034.4
70;0;2039.58
71;0;2044.69
72;0;2049.76
73;0;2054.78
74;0;2059.75
75;0;2064.68
76;0;2069.56
77;0;2074.39
78;0;2079.18
79;0;2083.93
80;0;2088.63
81;0;2093.29
82;0;2097.91
83;0;2102.49
84;0;2107.04
85;0;2111.54
86;0;2116
87;0;2120.42
88;0;2124.81
89;0;2129.17
90;0;2133.48
91;0;2137.76
92;0;2142.01
93;0;2146.22
94;0;2150.4
95;0;2154.55
96;0;2158.67
97;0;2162.75
98;0;2166.8
99;0;2170.82
100;0;2174.81
101;0;2178.78
102;0;2182.71
103;0;2186.61
104;0;2190.48
105;0;2194.33
106;0;2198.15
107;0;2201.93
108;0;2205.7
109;0;2209.43
110;0;2213.14
111;0;2216.82
112;0;2220.48
113;0;2224.11
114;0;2227.72
115;0;2231.3
116;0;2234.86
117;0;2238.39
118;0;2241.9
119;0;2245.39
120;0;2248.85
121;0;2252.29
122;0;2255.71
123;0;2259.11
124;0;2262.48
125;0;2265.83
126;0;2269.16
127;0;2272.47
128;0;2275.76
129;0;2279.02
130;0;2282.27
131;0;2285.5
132;0;2288.7
133;0;2291.89
134;0;2295.05
135;0;2298.2
136;0;2301.33
137;0;2304.44
138;0;2307.53
139;0;2310.6
140;0;2313.65
141;0;2316.68
142;0;2319.7
143;0;2322.7
144;0;2325.68
145;0;2328.64
146;0;2331.59
147;0;2334.52
148;0;2337.43
149;0;2340.33
150;0;2343.21
151;0;2346.07
152;0;2348.92
153;0;2351.75
154;0;2354.56
155;0;2357.36
156;0;2360.15
157;0;2362.91
158;0;2365.67
159;0;2368.41
160;0;2371.13
161;0;2373.84
162;0;2376.53
163;0;2379.21
164;0;2381.87
165;0;2384.52
166;0;2387.16
167;0;2389.78
168;0;2392.39
169;0;2394.98
170;0;2397.56
171;0;2400.13
172;0;2402.69
173;0;2405.23
174;0;2407.75
175;0;2410.27
176;0;2412.77
177;0;2415.26
178;0;2417.73
179;0;2420.2
180;0;2422.65
181;0;2425.09
182;0;2427.51
183;0;2429.93
184;0;2432.33
185;0;2434.72
186;0;2437.1
187;0;2439.46
188;0;2441.82
