Node;X;Y
0.0000000000;8.6891088486;0.0094999215
1.0000000000;9.5808200836;8.0650157928
2.0000000000;8.0765447617;11.2095003128
3.0000000000;0.0071715657;11.2095003128
4.0000000000;0.0071715657;0.0094999215
5.0000000000;14.3491716385;0.0094999215
6.0000000000;0.4012737274;0.0094999215
7.0000000000;0.7956401706;0.0094999215
8.0000000000;1.1901602745;0.0094999215
9.0000000000;1.5847662687;0.0094999215
10.0000000000;1.9794181585;0.0094999215
11.0000000000;2.3740940094;0.0094999215
12.0000000000;2.7687816620;0.0094999215
13.0000000000;3.1634750366;0.0094999215
14.0000000000;3.5581712723;0.0094999215
15.0000000000;3.9528687000;0.0094999215
16.0000000000;4.3475666046;0.0094999215
17.0000000000;4.7422618866;0.0094999215
18.0000000000;5.1311855316;0.0094999215
19.0000000000;5.5183415413;0.0094999215
20.0000000000;5.9059910774;0.0094999215
21.0000000000;6.2984819412;0.0094999215
22.0000000000;6.6913881302;0.0094999215
23.0000000000;7.0817832947;0.0094999215
24.0000000000;7.4824166298;0.0094999215
25.0000000000;7.8840675354;0.0094999215
26.0000000000;8.2867002487;0.0094999215
27.0000000000;8.7034959793;0.3828381896
28.0000000000;8.7306203842;0.7563262582
29.0000000000;8.7660961151;1.1296322346
30.0000000000;8.8060626984;1.5021235943
31.0000000000;8.8475170135;1.8712651730
32.0000000000;8.8875284195;2.2300438881
33.0000000000;8.9302101135;2.5895738602
34.0000000000;8.9729585648;2.9387950897
35.0000000000;9.0180311203;3.3049569130
36.0000000000;9.0631046295;3.6711187363
37.0000000000;9.1081781387;4.0372805595
38.0000000000;9.1532516479;4.4034423828
39.0000000000;9.1983251572;4.7696046829
40.0000000000;9.2433986664;5.1357665062
41.0000000000;9.2884712219;5.5019283295
42.0000000000;9.3277416229;5.9188442230
43.0000000000;9.3709859848;6.2917218208
44.0000000000;9.4145612717;6.6608300209
45.0000000000;9.4563274384;7.0359230042
46.0000000000;9.4894952774;7.4181408882
47.0000000000;9.5323247910;7.7527065277
48.0000000000;9.2383966446;8.1674461365
49.0000000000;8.8801879883;8.3520050049
50.0000000000;8.5389204025;8.6027879715
51.0000000000;8.2653779984;8.9154071808
52.0000000000;8.0886907578;9.2643108368
53.0000000000;7.9979448318;9.6297359467
54.0000000000;7.9698615074;10.0034646988
55.0000000000;7.9832510948;10.3871250153
56.0000000000;8.0225086212;10.7861518860
57.0000000000;7.6588225365;11.2095003128
58.0000000000;7.2590231895;11.2095003128
59.0000000000;6.8636755943;11.2095003128
60.0000000000;6.4674720764;11.2095003128
61.0000000000;6.0689678192;11.2095003128
62.0000000000;5.6682858467;11.2095003128
63.0000000000;5.2660045624;11.2095003128
64.0000000000;4.8626899719;11.2095003128
65.0000000000;4.4587631226;11.2095003128
66.0000000000;4.0544962883;11.2095003128
67.0000000000;3.6500492096;11.2095003128
68.0000000000;3.2455103397;11.2095003128
69.0000000000;2.8409264088;11.2095003128
70.0000000000;2.4363210201;11.2095003128
71.0000000000;2.0317044258;11.2095003128
72.0000000000;1.6270756721;11.2095003128
73.0000000000;1.2224088907;11.2095003128
74.0000000000;0.8176304698;11.2095003128
75.0000000000;0.4126085043;11.2095003128
76.0000000000;0.0071715657;10.8072319031
77.0000000000;0.0071715657;10.4050550461
78.0000000000;0.0071715657;10.0032310486
79.0000000000;0.0071715657;9.6019105911
80.0000000000;0.0071715657;9.2011327744
81.0000000000;0.0071715657;8.8008842468
82.0000000000;0.0071715657;8.4011888504
83.0000000000;0.0071715657;8.0016241074
84.0000000000;0.0071715657;7.6021480560
85.0000000000;0.0071715657;7.2026824951
86.0000000000;0.0071715657;6.8031826019
87.0000000000;0.0071715657;6.4036374092
88.0000000000;0.0071715657;6.0040535927
89.0000000000;0.0071715657;5.6044425964
90.0000000000;0.0071715657;5.2048134804
91.0000000000;0.0071715657;4.8051738739
92.0000000000;0.0071715657;4.4055290222
93.0000000000;0.0071715657;4.0058813095
94.0000000000;0.0071715657;3.6062316895
95.0000000000;0.0071715657;3.2065811157
96.0000000000;0.0071715657;2.8069305420
97.0000000000;0.0071715657;2.4072797298
98.0000000000;0.0071715657;2.0076286793
