Element;Node-1;Node-2;Node-3;Node-4
0;245;1086;423;4
1;1086;1087;422;423
2;1087;1088;421;422
3;1088;1089;420;421
4;1089;1090;419;420
5;1090;1091;418;419
6;1091;1092;417;418
7;1092;1093;416;417
8;1093;1094;415;416
9;1094;1095;414;415
10;1095;1096;413;414
11;1096;1097;412;413
12;1097;1098;411;412
13;1098;1099;410;411
14;1099;1100;409;410
15;1100;1101;408;409
16;1101;1102;407;408
17;1102;1103;406;407
18;1103;1104;405;406
19;1104;1105;404;405
20;1105;1106;403;404
21;1106;1107;402;403
22;1107;1108;401;402
23;1108;1109;400;401
24;1109;1110;399;400
25;1110;1111;398;399
26;1111;1112;397;398
27;1112;1113;396;397
28;1113;1114;395;396
29;1114;1115;394;395
30;1115;1116;393;394
31;1116;1117;392;393
32;1117;1118;391;392
33;1118;1119;390;391
34;1119;1120;389;390
35;1120;1121;388;389
36;1121;1122;387;388
37;1122;1123;386;387
38;1123;1124;385;386
39;1124;1125;384;385
40;1125;1126;383;384
41;1126;1127;382;383
42;1127;1128;381;382
43;1128;1129;380;381
44;1129;1130;379;380
45;1130;1131;378;379
46;1131;1132;377;378
47;1132;1133;376;377
48;1133;1134;375;376
49;1134;1135;374;375
50;1135;1136;373;374
51;1136;1137;372;373
52;1137;1138;371;372
53;1138;1139;370;371
54;1139;1140;369;370
55;1140;1141;368;369
56;1141;1142;367;368
57;1142;1143;366;367
58;1143;1144;365;366
59;1144;1145;364;365
60;1145;1146;363;364
61;1146;1147;362;363
62;1147;1148;361;362
63;1148;1149;360;361
64;1149;1150;359;360
65;1150;1151;358;359
66;1151;1152;357;358
67;1152;1153;356;357
68;1153;1154;355;356
69;1154;1155;354;355
70;1155;1156;353;354
71;1156;1157;352;353
72;1157;1158;351;352
73;1158;1159;350;351
74;1159;1160;349;350
75;1160;1161;348;349
76;1161;1162;347;348
77;1162;1163;346;347
78;1163;1164;345;346
79;1164;1165;344;345
80;1165;1166;343;344
81;1166;1167;342;343
82;1167;1168;341;342
83;1168;1169;340;341
84;1169;1170;339;340
85;1170;1171;338;339
86;1171;1172;337;338
87;1172;1173;336;337
88;1173;1174;335;336
89;1174;1175;334;335
90;1175;1176;333;334
91;1176;1177;332;333
92;1177;1178;331;332
93;1178;1179;330;331
94;1179;1180;329;330
95;1180;1181;328;329
96;1181;1182;327;328
97;1182;1183;326;327
98;1183;1184;325;326
99;1184;1185;324;325
100;1185;1186;323;324
101;1186;525;6;323
102;246;1187;1086;245
103;1187;1188;1087;1086
104;1188;1189;1088;1087
105;1189;1190;1089;1088
106;1190;1191;1090;1089
107;1191;1192;1091;1090
108;1192;1193;1092;1091
109;1193;1194;1093;1092
110;1194;1195;1094;1093
111;1195;1196;1095;1094
112;1196;1197;1096;1095
113;1197;1198;1097;1096
114;1198;1199;1098;1097
115;1199;1200;1099;1098
116;1200;1201;1100;1099
117;1201;1202;1101;1100
118;1202;1203;1102;1101
119;1203;1204;1103;1102
120;1204;1205;1104;1103
121;1205;1206;1105;1104
122;1206;1207;1106;1105
123;1207;1208;1107;1106
124;1208;1209;1108;1107
125;1209;1210;1109;1108
126;1210;1211;1110;1109
127;1211;1212;1111;1110
128;1212;1213;1112;1111
129;1213;1214;1113;1112
130;1214;1215;1114;1113
131;1215;1216;1115;1114
132;1216;1217;1116;1115
133;1217;1218;1117;1116
134;1218;1219;1118;1117
135;1219;1220;1119;1118
136;1220;1221;1120;1119
137;1221;1222;1121;1120
138;1222;1223;1122;1121
139;1223;1224;1123;1122
140;1224;1225;1124;1123
141;1225;1226;1125;1124
142;1226;1227;1126;1125
143;1227;1228;1127;1126
144;1228;1229;1128;1127
145;1229;1230;1129;1128
146;1230;1231;1130;1129
147;1231;1232;1131;1130
148;1232;1233;1132;1131
149;1233;1234;1133;1132
150;1234;1235;1134;1133
151;1235;1236;1135;1134
152;1236;1237;1136;1135
153;1237;1238;1137;1136
154;1238;1239;1138;1137
155;1239;1240;1139;1138
156;1240;1241;1140;1139
157;1241;1242;1141;1140
158;1242;1243;1142;1141
159;1243;1244;1143;1142
160;1244;1245;1144;1143
161;1245;1246;1145;1144
162;1246;1247;1146;1145
163;1247;1248;1147;1146
164;1248;1249;1148;1147
165;1249;1250;1149;1148
166;1250;1251;1150;1149
167;1251;1252;1151;1150
168;1252;1253;1152;1151
169;1253;1254;1153;1152
170;1254;1255;1154;1153
171;1255;1256;1155;1154
172;1256;1257;1156;1155
173;1257;1258;1157;1156
174;1258;1259;1158;1157
175;1259;1260;1159;1158
