Element;Node-1;Node-2;Node-3;Node-4
0;1060;1308;1341;10
1;1061;1308;1060;12
2;1309;1062;14;1234
3;2089;1983;1862;2155
4;5040;2729;2804;5110
5;4288;254;4375;5277
6;4452;4396;4497;4391
7;4397;5330;5446;5392
8;4457;4429;324;4475
9;4080;5418;5417;4289
10;5525;4211;3848;370
11;3632;5491;3882;5460
12;3609;3798;3577;437
13;3536;438;3675;3482
14;3033;3072;476;3109
15;477;2922;2859;2989
16;2599;495;2655;4893
17;513;2101;2020;1824
18;2689;1670;1661;4603
19;1433;1184;105;1540
20;1181;1446;1437;1180
21;1182;1442;1453;103
22;1180;1437;1443;102
23;1164;1440;1439;93
24;2216;2165;597;2334
25;2608;2444;596;2552
26;4269;4040;600;4319
27;4314;594;4279;4404
28;4476;4455;602;4516
29;4520;4502;592;4513
30;604;4536;4540;4529
31;4525;4490;4506;590
32;606;4487;4473;4490
33;5088;4345;5029;5010
34;4284;4069;4374;4096
35;2554;2723;3944;609
36;1477;1092;1093;1470
37;1094;1468;1473;35
38;35;1473;1470;1093
39;36;1543;1468;1094
40;1494;3125;4044;1603
41;2770;2485;2672;4705
42;2328;655;2431;2438
43;2819;2761;656;2654
44;3106;3032;706;3150
45;3299;3291;3234;724
46;725;3452;3421;3304
47;5478;3510;5441;5477
48;3559;3592;3635;788
49;3444;3474;3411;790
50;3377;3345;814;3417
51;859;3426;3396;3515
52;3203;860;3239;3159
53;3156;884;5215;3805
54;4198;3813;931;3922
55;4845;2311;2496;4897
56;2095;4761;955;4791
57;1896;980;4573;4574
58;3990;1319;1233;1002
59;1320;1152;1153;1260
60;1233;1320;1519;1002
61;1154;1261;1293;84
62;934;1704;1612;1524
63;4670;1975;4738;2079
64;2290;4817;4816;2483
65;863;5108;2465;5036
66;3065;2991;3102;838
67;3231;816;3195;3252
68;3188;3134;3228;815
69;3401;769;3460;3428
70;3271;748;3211;5284
71;3350;5340;3388;3440
72;3561;3498;3532;5439
73;5434;3422;3448;691
74;5367;3276;3320;690
75;3191;658;3294;3268
76;3917;4991;4990;3136
77;4666;4665;2851;2968
78;3085;3112;3081;3044
79;585;1554;1566;3162
80;1603;1639;1543;624
81;1059;1388;1342;9
82;139;2282;2127;2133
83;1680;2058;160;3989
84;1983;185;2157;2087
85;186;2191;4728;4729
86;2663;4918;2503;4826
87;232;2801;4031;4112
88;4339;4178;278;4391
89;5325;4389;5398;5326
90;4168;3907;5444;4247
91;3780;371;3786;3789
92;3797;3795;416;5490
93;4242;5428;418;5378
94;3893;3108;3154;3947
95;2989;2859;2921;2994
96;2748;2791;5063;4050
97;2141;2350;2254;497
98;1730;528;4603;1661
99;1590;1450;1447;529
100;1649;1581;1444;515
101;1444;106;1187;515
102;1188;1224;515;1187
103;1755;1658;1815;481
104;4589;1943;481;1815
105;4835;442;2517;4840
106;4163;4083;398;5379
107;4381;4331;4383;5457
108;4120;3782;5501;3853
109;3720;3742;5508;3913
110;3668;3641;3689;327
111;3640;3756;3739;5356
112;3701;3717;259;3690
113;258;3759;3749;3735
114;2873;2800;2721;2926
115;2703;211;4802;2427
116;2428;165;2316;2387
117;4553;1902;1609;141
118;1330;1344;1904;141
119;1343;8;1058;1387
120;1387;1058;9;1342
121;2063;1998;140;2147
122;2039;2238;4676;2191
123;187;2099;2314;2416
124;4940;2610;2574;2611
125;233;3061;3836;4246
126;4178;5204;4256;278
127;4114;5308;280;3961
128;4285;4102;302;5326
129;3779;3787;348;3833
130;5526;349;3753;5513
131;3773;3777;372;3775
132;4158;5427;4038;417
133;4063;4287;5338;4214
134;3200;3257;3904;440
135;5028;2577;2645;2921
136;4803;496;2141;2051
137;498;1749;1605;4560
138;4560;1605;1500;499
139;7;1344;1330;1056
140;1054;1055;1345;1349
141;1348;1384;2320;143
142;1383;1348;143;1538
143;1347;1382;3953;145
144;1377;1381;3994;146
145;2537;4584;2666;4555
146;1537;1379;1340;147
147;1328;148;1534;1334
148;150;4014;2322;4586
149;1409;1376;1213;126
150;1214;127;1410;1375
151;1215;128;1411;1374
152;1373;1413;3087;154
153;2961;1372;1414;4551
154;2831;1371;1415;155
155;2653;1370;1416;156
156;3997;1369;1417;157
157;2215;1346;1418;158
158;1223;135;1419;4549
159;135;1222;1346;1419
160;2;1051;1347;1381
161;1420;1383;1538;144
162;4;1053;1348;1383
163;1309;4015;138;1232
164;1310;1063;15;1235
165;1690;4614;183;1520
166;207;2236;2155;4627
167;2301;253;2497;2310
168;3921;4164;4281;4199
169;4117;4239;298;4053
170;4426;4384;4428;4468
171;4377;346;4425;345
172;4338;4412;4418;4464
173;4277;4361;4444;4370
174;5371;4124;5415;3854
175;437;3577;3479;3514
176;3235;3290;3198;476
177;3147;3071;3033;3109
178;2760;2817;3131;510
179;2327;2437;2563;2821
180;2354;2484;4603;528
181;557;4045;3062;3029
182;1661;1590;529;1730
183;1311;1064;1065;1250
184;1894;1593;1775;4626
185;1869;2117;1988;4683
186;2207;2294;2380;5065
187;4012;4174;4245;4164
188;4179;4238;4053;5001
189;4264;344;4398;322
190;4208;4385;4377;4207
191;4399;5295;5294;5336
192;391;5396;4122;4277
193;3303;3389;3982;414
194;3450;3514;3479;436
195;5479;474;3353;3305
196;475;3236;3198;3290
197;2818;2760;510;3230
198;2850;2842;2765;526
199;3038;2915;3062;531
200;1604;1640;1539;558
201;530;1670;3124;1495
202;1235;1311;1520;183
203;1506;1251;1295;228
204;1689;1611;1795;229
