Element;Node-1;Node-2;Node-3;Node-4
0;371;69;431;372
1;444;333;41;431
2;399;43;334;445
3;400;44;335;446
4;45;336;447;401
5;448;449;46;337
6;339;338;450;403
7;451;404;340;47
8;452;405;341;48
9;453;406;342;49
10;454;407;343;50
11;455;408;344;51
12;456;409;345;52
13;457;410;346;53
14;55;347;411;459
15;56;348;412;460
16;57;349;413;461
17;58;350;414;462
18;352;351;463;415
19;464;416;353;59
20;465;417;354;60
21;466;418;355;61
22;467;419;356;62
23;357;420;319;40
24;357;63;468;420
25;35;326;421;439
26;822;748;270;1137
27;1248;738;724;688
28;590;246;626;647
29;597;510;617;234
30;380;389;310;20
31;374;234;617;380
32;20;309;374;380
33;394;245;499;395
34;1191;646;1183;534
35;270;748;744;757
36;439;422;327;35
37;1137;271;807;822
38;811;874;849;1199
39;248;785;763;750
40;707;725;247;688
41;225;591;649;1283
42;537;1192;510;561
43;311;21;396;375
44;396;520;1145;375
45;260;840;1262;825
46;722;705;226;649
47;1264;627;648;1212
48;522;500;213;601
49;381;390;312;22
50;784;1251;1250;879
51;782;747;803;238
52;686;226;705;804
53;644;586;663;215
54;522;549;203;500
55;313;23;397;376
56;192;594;573;554
57;8;291;502;477
58;359;360;490;64
59;480;476;289;7
60;477;484;290;8
61;661;77;665;78
62;715;670;692;1292
63;101;790;1306;1284
64;851;95;869;1230
65;936;111;1206;940
66;915;111;936;890
67;983;890;936;1176
68;819;1188;845;98
69;100;1240;752;790
70;1236;714;87;701
71;584;620;642;635
72;555;536;610;71
73;360;279;278;1168
74;279;360;359;0
75;504;70;559;505
76;514;527;477;502
77;488;664;690;514
78;624;568;623;587
79;1284;704;728;852
80;781;110;820;1273
81;904;848;110;873
82;987;957;129;1001
83;940;958;1138;112
84;76;502;291;292
85;292;9;473;76
86;487;544;515;83
87;672;637;636;1291
88;740;718;720;1315
89;781;761;1299;802
90;894;918;1259;847
91;938;973;957;128
92;974;128;957;987
93;9;293;471;473
94;606;103;544;630
95;660;1316;657;92
96;730;741;760;109
97;837;798;127;847
98;895;927;871;127
99;996;1017;988;137
100;129;957;973;1147
101;644;703;678;205
102;622;205;675;640
103;532;501;192;554
104;382;391;314;24
105;385;391;501;182
106;675;205;693;727
107;193;618;583;1136
108;525;496;182;550
109;316;315;386;383
110;383;386;496;171
111;1101;1151;1093;232
112;1074;1065;1254;232
113;1056;1067;1057;220
114;1005;1357;220;986
115;886;902;1343;906
116;838;886;867;823
117;215;1297;703;644
118;762;228;805;783
119;747;782;762;1331
120;888;239;891;238
121;838;892;902;886
122;229;1342;1321;980
123;1020;1010;241;1022
124;1049;1050;231;1061
125;243;1100;1105;1118
126;1105;1100;244;1146
127;300;301;474;483
128;14;302;478;130
129;478;469;139;1175
130;150;580;543;552
131;691;1135;659;669
132;839;854;928;176
133;962;929;945;971
134;1040;1055;1029;209
135;211;1070;1079;1110
136;1058;1079;1070;210
137;1102;211;1110;1124
138;1111;1128;1220;1094
139;1123;1114;1121;1125
140;1004;1024;1008;147
141;137;989;976;996
142;818;798;1311;778
143;746;758;776;774
144;125;723;742;771
145;133;770;756;780
146;800;578;614;132
147;518;121;489;547
148;508;489;483;474
149;139;567;575;1175
150;551;131;508;526
151;1156;593;140;934
152;1280;921;887;900
153;899;152;887;921
154;528;552;543;139
155;1170;485;303;304
156;563;512;539;161
157;516;498;171;546
158;171;496;525;546
159;183;621;585;611
160;583;639;184;621
161;639;673;1334;184
162;196;931;947;1141
163;946;933;186;1363
164;1367;933;946;929
165;839;175;876;854
166;799;810;876;175
167;677;711;174;699
168;585;643;1282;634
169;677;1320;698;711
170;709;698;1320;673
171;387;384;317;26
172;384;387;498;160
173;19;307;377;394
174;307;18;393;377
175;682;1143;613;671
176;735;424;441;269
177;440;423;328;36
178;18;306;378;393
179;306;17;392;378
180;683;425;442;268
181;441;424;329;37
182;17;305;379;392
183;331;39;443;379
184;442;425;330;38
185;1177;421;438;874
186;34;324;426;437
187;1173;436;33;323
188;32;322;428;1172
189;31;321;429;434
190;1088;1098;276;1180
191;276;1117;1112;1180
192;1232;1103;1186;1113
