eval;phi;x1;x2;x3;x4;x5;x6
1;2.051515343137e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
2;2.051515343137e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
3;2.051515343137e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
4;2.051515344831e+09;5.000000074506e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
5;2.051515341438e+09;5.000000000000e-01;5.000000074506e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
6;2.051515347679e+09;5.000000000000e-01;5.000000000000e-01;1.500000022352e+00;1.000000000000e+03;4.000000000000e+02;2.000000000000e-01
7;2.051515428538e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000014901e+03;4.000000000000e+02;2.000000000000e-01
8;2.051515372559e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000059605e+02;2.000000000000e-01
9;2.051515302718e+09;5.000000000000e-01;5.000000000000e-01;1.500000000000e+00;1.000000000000e+03;4.000000000000e+02;2.000000029802e-01
10;1.178667531750e+07;3.561951387632e-01;4.137977317636e-01;1.535467406812e+00;4.893967572694e+02;1.187102397339e+02;1.838052739733e-01
11;1.178667526668e+07;3.561951440709e-01;4.137977317636e-01;1.535467406812e+00;4.893967572694e+02;1.187102397339e+02;1.838052739733e-01
12;1.178667855074e+07;3.561951387632e-01;4.137977379296e-01;1.535467406812e+00;4.893967572694e+02;1.187102397339e+02;1.838052739733e-01
13;1.178667545354e+07;3.561951387632e-01;4.137977317636e-01;1.535467429693e+00;4.893967572694e+02;1.187102397339e+02;1.838052739733e-01
14;1.178667513047e+07;3.561951387632e-01;4.137977317636e-01;1.535467406812e+00;4.893967645620e+02;1.187102397339e+02;1.838052739733e-01
15;1.178667529233e+07;3.561951387632e-01;4.137977317636e-01;1.535467406812e+00;4.893967572694e+02;1.187102415028e+02;1.838052739733e-01
16;1.178667535546e+07;3.561951387632e-01;4.137977317636e-01;1.535467406812e+00;4.893967572694e+02;1.187102397339e+02;1.838052767122e-01
17;1.075199258712e+07;2.909654728713e-01;3.704132423099e-01;1.578915789664e+00;5.268306315644e+02;1.923914577329e+02;2.241318429873e-01
18;1.075199272042e+07;2.909654772070e-01;3.704132423099e-01;1.578915789664e+00;5.268306315644e+02;1.923914577329e+02;2.241318429873e-01
19;1.075199035888e+07;2.909654728713e-01;3.704132478295e-01;1.578915789664e+00;5.268306315644e+02;1.923914577329e+02;2.241318429873e-01
20;1.075199268686e+07;2.909654728713e-01;3.704132423099e-01;1.578915813192e+00;5.268306315644e+02;1.923914577329e+02;2.241318429873e-01
21;1.075199503351e+07;2.909654728713e-01;3.704132423099e-01;1.578915789664e+00;5.268306394148e+02;1.923914577329e+02;2.241318429873e-01
22;1.075199402992e+07;2.909654728713e-01;3.704132423099e-01;1.578915789664e+00;5.268306315644e+02;1.923914605998e+02;2.241318429873e-01
23;1.075199117269e+07;2.909654728713e-01;3.704132423099e-01;1.578915789664e+00;5.268306315644e+02;1.923914577329e+02;2.241318463272e-01
24;8.132809978481e+03;2.849010684647e-01;3.736507660690e-01;1.567052674630e+00;5.647773135269e+02;1.596249716912e+02;2.602262120580e-01
25;8.132813903263e+03;2.849010727101e-01;3.736507660690e-01;1.567052674630e+00;5.647773135269e+02;1.596249716912e+02;2.602262120580e-01
26;8.132829842840e+03;2.849010684647e-01;3.736507716368e-01;1.567052674630e+00;5.647773135269e+02;1.596249716912e+02;2.602262120580e-01
27;8.132807645766e+03;2.849010684647e-01;3.736507660690e-01;1.567052697981e+00;5.647773135269e+02;1.596249716912e+02;2.602262120580e-01
28;8.132739519888e+03;2.849010684647e-01;3.736507660690e-01;1.567052674630e+00;5.647773219428e+02;1.596249716912e+02;2.602262120580e-01
