      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
         1;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         2;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         3;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         4;    749667464.43707883;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         5;    749667464.43707883;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         6;    749667459.38626504;            0.50000000;            0.50000000;            1.50000002;          200.00000000;         1000.00000000
         7;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         8;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         9;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
        10;    555901776.81422329;            0.67975990;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        11;    555901776.67306948;            0.67975991;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        12;    555901776.67306948;            0.67975991;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        13;    555901771.90873599;            0.67975990;            0.47845262;            1.68350957;          205.06914134;         1036.67993141
        14;    555901750.24852467;            0.67975990;            0.47845262;            1.68350955;          205.06914440;         1036.67993141
        15;    555901750.24852467;            0.67975990;            0.47845262;            1.68350955;          205.06914440;         1036.67993141
        16;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        17;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        18;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        19;    270454833.95905268;            0.71610465;            0.43500864;            2.05569549;          216.38917758;         1112.85884162
        20;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
        21;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
        22;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
