      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
         1;    599670383.28096151;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         2;    599670383.28096151;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         3;    599670383.28096151;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         4;    599670382.81323683;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         5;    599670382.81323683;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         6;    599670380.22882235;            0.50000000;            0.50000000;            1.50000002;          200.00000000;         1000.00000000
         7;    599670351.51652563;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         8;    599670351.51652563;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         9;    599670351.51652563;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
        10;    260060049.36550075;            0.81051535;            0.44593102;            2.33165917;          211.87978079;         1081.44113997
        11;    260060049.36550075;            0.81051535;            0.44593102;            2.33165917;          211.87978079;         1081.44113997
        12;    260060049.36550075;            0.81051535;            0.44593102;            2.33165917;          211.87978079;         1081.44113997
        13;    260060047.67588156;            0.81051535;            0.44593102;            2.33165920;          211.87978079;         1081.44113997
        14;    260060025.95061275;            0.81051535;            0.44593102;            2.33165917;          211.87978395;         1081.44113997
        15;    260060025.95061275;            0.81051535;            0.44593102;            2.33165917;          211.87978395;         1081.44113997
        16;    260060025.95061275;            0.81051535;            0.44593102;            2.33165917;          211.87978395;         1081.44113997
        17;    205378626.58351937;            0.69647874;            0.43485315;            2.43962912;          214.44705901;         1099.21557434
        18;    205378626.58351937;            0.69647874;            0.43485315;            2.43962912;          214.44705901;         1099.21557434
        19;    205378626.58351937;            0.69647874;            0.43485315;            2.43962912;          214.44705901;         1099.21557434
        20;    205378625.09437168;            0.69647874;            0.43485315;            2.43962916;          214.44705901;         1099.21557434
        21;    205378605.40052190;            0.69647874;            0.43485315;            2.43962912;          214.44706220;         1099.21557434
        22;    205378605.40052190;            0.69647874;            0.43485315;            2.43962912;          214.44706220;         1099.21557434
        23;     91164608.60507040;            0.34150663;            0.41379266;            2.62682607;          219.12969732;         1129.88115741
        24;     91164608.60507040;            0.34150663;            0.41379266;            2.62682607;          219.12969732;         1129.88115741
        25;     91164608.60507040;            0.34150663;            0.41379266;            2.62682607;          219.12969732;         1129.88115741
        26;     91164607.62254499;            0.34150663;            0.41379266;            2.62682611;          219.12969732;         1129.88115741
        27;     91164593.99283385;            0.34150663;            0.41379266;            2.62682607;          219.12970059;         1129.88115741
        28;     91164593.99283385;            0.34150663;            0.41379266;            2.62682607;          219.12970059;         1129.88115741
        29;     31493332.71400564;           -0.00339041;            0.39629894;            2.92331246;          229.08142731;         1143.00500029
        30;     31493332.68313086;           -0.00339041;            0.39629894;            2.92331246;          229.08142731;         1143.00500029
        31;     31493318.87012003;           -0.00339041;            0.39629895;            2.92331246;          229.08142731;         1143.00500029
        32;     31493318.87012003;           -0.00339041;            0.39629895;            2.92331246;          229.08142731;         1143.00500029
        33;     31493318.87012003;           -0.00339041;            0.39629895;            2.92331246;          229.08142731;         1143.00500029
        34;     31493318.87012003;           -0.00339041;            0.39629895;            2.92331246;          229.08142731;         1143.00500029
        35;      1914769.86754562;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        36;      1914769.86397918;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        37;      1914769.02587075;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        38;      1914769.02587075;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        39;      1914769.02587075;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        40;      1914769.02587075;            0.01024493;            0.40405095;            2.69440307;          233.58453507;         1030.81885607
        41;       949508.01809647;            0.10001239;            0.40314090;            2.68257076;          256.80006096;          956.89199501
        42;       949507.93427324;            0.10001239;            0.40314090;            2.68257076;          256.80006096;          956.89199501
        43;       949506.33823888;            0.10001239;            0.40314091;            2.68257076;          256.80006096;          956.89199501
        44;       949506.33823888;            0.10001239;            0.40314091;            2.68257076;          256.80006096;          956.89199501
        45;       949506.33823888;            0.10001239;            0.40314091;            2.68257076;          256.80006096;          956.89199501
        46;       949506.33823888;            0.10001239;            0.40314091;            2.68257076;          256.80006096;          956.89199501
        47;        64335.58234299;            0.19762040;            0.37889999;            2.75358350;          257.81995372;          876.93660764
        48;        64335.58234299;            0.19762040;            0.37889999;            2.75358350;          257.81995372;          876.93660764
        49;        64335.58234299;            0.19762040;            0.37889999;            2.75358350;          257.81995372;          876.93660764
        50;        64335.56439673;            0.19762040;            0.37889999;            2.75358354;          257.81995372;          876.93660764
        51;        64335.36643581;            0.19762040;            0.37889999;            2.75358350;          257.81995756;          876.93660764
        52;        64335.36643581;            0.19762040;            0.37889999;            2.75358350;          257.81995756;          876.93660764
