inc;vf1;vf2;vf3
0;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00
1;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00
2;-3.353038824625e+02;-1.991108686906e+03;-6.101973596780e+03
3;-4.687351653606e+03;-2.987723013031e+04;-1.319883999206e+04
4;-9.902229752640e+03;-5.782300213140e+04;-1.182464484988e+04
5;-3.337341799050e+04;-1.533576023977e+05;-5.738311060024e+03
6;-6.444090086916e+04;-2.586357369977e+05;7.897454052492e+03
7;-8.777947569304e+04;-3.387387979240e+05;1.825531030391e+04
8;-1.043617622134e+05;-3.917497298502e+05;2.745193214365e+04
9;-1.223282922252e+05;-4.467395287226e+05;3.124026650222e+04
10;-1.419738528245e+05;-5.091053800159e+05;4.353094336459e+04
11;-1.625194918147e+05;-5.721019916688e+05;5.583087714666e+04
12;-1.846413753132e+05;-6.384061928571e+05;6.899098349056e+04
13;-2.019673716098e+05;-6.883249314376e+05;7.814560350999e+04
14;-2.169102678624e+05;-7.294413748055e+05;8.445493481012e+04
15;-2.294009660015e+05;-7.625310322737e+05;8.971518424771e+04
16;-2.400228165713e+05;-7.902841481690e+05;9.311375413970e+04
17;-2.494959766312e+05;-8.138042792909e+05;9.452936981097e+04
18;-2.577227591154e+05;-8.350720793913e+05;9.648665429918e+04
19;-2.647325589846e+05;-8.532795265698e+05;9.875766441677e+04
20;-2.709563844848e+05;-8.690456874599e+05;9.753236072517e+04
21;-2.764687001057e+05;-8.838264992696e+05;9.685209258887e+04
22;-2.812161797230e+05;-8.975381187598e+05;9.698170397782e+04
23;-2.855475460629e+05;-9.098618603140e+05;9.382384266715e+04
24;-2.892036520848e+05;-9.223050741088e+05;9.369904994789e+04
25;-2.922593341513e+05;-9.338797739343e+05;9.318905063350e+04
26;-2.947527835059e+05;-9.445736904664e+05;9.238328275026e+04
27;-2.967791702500e+05;-9.545643879603e+05;9.050204506060e+04
28;-2.984095194501e+05;-9.643176772704e+05;8.852289446845e+04
29;-2.995447982141e+05;-9.735854083488e+05;8.739603690855e+04
30;-3.003958609785e+05;-9.825803764676e+05;8.626656411792e+04
31;-3.010726744441e+05;-9.914071869695e+05;8.516686973322e+04
32;-3.016315127461e+05;-1.000069611691e+06;8.409484853336e+04
33;-3.021018597628e+05;-1.008580947114e+06;8.303156376779e+04
34;-3.025140262806e+05;-1.016948864988e+06;8.199191133695e+04
35;-3.028863072056e+05;-1.025178980060e+06;8.098009867922e+04
36;-3.032310492597e+05;-1.033289131060e+06;7.999643204281e+04
37;-3.035569043764e+05;-1.041282046711e+06;7.904024433304e+04
38;-3.038677267409e+05;-1.049152943750e+06;7.810950095623e+04
39;-3.041674728814e+05;-1.056920708988e+06;7.720393278927e+04
40;-3.044568585432e+05;-1.064581815939e+06;7.631984664983e+04
41;-3.047395080838e+05;-1.072146388287e+06;7.545778076581e+04
42;-3.050179213069e+05;-1.079446781810e+06;7.461797082559e+04
43;-3.052919646657e+05;-1.086640198809e+06;7.379876067099e+04
44;-3.056082340622e+05;-1.093890862918e+06;7.171311055680e+04
45;-3.058762129902e+05;-1.101107206752e+06;7.094112651183e+04
46;-3.061409318443e+05;-1.108243649486e+06;7.018639224326e+04
47;-3.064035069783e+05;-1.115300047906e+06;6.944888584327e+04
48;-3.066655080758e+05;-1.122280510635e+06;6.873012366206e+04
49;-3.069262598940e+05;-1.129178021904e+06;6.802681143399e+04
50;-3.071872682272e+05;-1.136009773920e+06;6.734059187465e+04
51;-3.074491767942e+05;-1.142775006031e+06;6.667048898737e+04
52;-3.077104555351e+05;-1.149410937070e+06;6.601454294310e+04
53;-3.079720052959e+05;-1.155834089873e+06;6.537258912172e+04
54;-3.082834180652e+05;-1.162241837342e+06;6.420461098996e+04
55;-3.085510281944e+05;-1.168761750532e+06;6.276234109948e+04
56;-3.088187916106e+05;-1.175217821846e+06;6.217548593924e+04
57;-3.090862453536e+05;-1.181615115370e+06;6.159979563713e+04
58;-3.093540560684e+05;-1.187957751853e+06;6.103472260290e+04
59;-3.096215388293e+05;-1.194238796789e+06;6.048264564444e+04
60;-3.098894254409e+05;-1.200466542678e+06;5.994129565082e+04
61;-3.101573205327e+05;-1.206638450088e+06;5.940992531026e+04
62;-3.104257604066e+05;-1.212752694550e+06;5.888955041205e+04
63;-3.106931612047e+05;-1.218809490353e+06;5.837405043472e+04
64;-3.109611001224e+05;-1.224817467612e+06;5.786971554921e+04
65;-3.112294043359e+05;-1.230772958116e+06;5.737672018190e+04
66;-3.114981816301e+05;-1.236678265238e+06;5.689309538821e+04
67;-3.117667802002e+05;-1.242538344793e+06;5.641849239005e+04
68;-3.120365820037e+05;-1.248347652383e+06;5.595440204331e+04
69;-3.123073385508e+05;-1.254110711161e+06;5.550230706932e+04
70;-3.125781732844e+05;-1.259829839962e+06;5.505804583961e+04
71;-3.128484677774e+05;-1.265496583796e+06;5.462305429617e+04
72;-3.131196771508e+05;-1.271117422572e+06;5.419601409415e+04
73;-3.133905998497e+05;-1.276695741915e+06;5.377868936083e+04
74;-3.136622361193e+05;-1.282232770444e+06;5.337213406088e+04
75;-3.139339721281e+05;-1.287728722870e+06;5.297282449643e+04
76;-3.142049201183e+05;-1.293177193559e+06;5.258111043687e+04
77;-3.144748369629e+05;-1.298585401635e+06;5.219578823751e+04
78;-3.147442538339e+05;-1.303954593070e+06;5.181908338515e+04
79;-3.150136249205e+05;-1.309279593810e+06;5.145051670451e+04
80;-3.152831585501e+05;-1.314565475286e+06;5.109042732441e+04
81;-3.155527539623e+05;-1.319813065276e+06;5.073964825268e+04
82;-3.158228836126e+05;-1.325019689903e+06;5.039714492403e+04
83;-3.160921723299e+05;-1.330182992130e+06;5.005995958834e+04
84;-3.163604462146e+05;-1.335309310332e+06;4.972912476318e+04
85;-3.166279455218e+05;-1.340399289326e+06;4.940602240557e+04
86;-3.168949181484e+05;-1.345453161929e+06;4.909015562019e+04
87;-3.171601427018e+05;-1.350471131405e+06;4.878134712020e+04
88;-3.174247621461e+05;-1.355449777842e+06;4.847780067768e+04
89;-3.176876481445e+05;-1.360391753557e+06;4.818110650978e+04
90;-3.179493130046e+05;-1.365299265391e+06;4.789066724127e+04
91;-3.182096674137e+05;-1.370171875443e+06;4.760732386727e+04
92;-3.184699896148e+05;-1.375006406143e+06;4.733047814941e+04
93;-3.187289340804e+05;-1.379807319815e+06;4.706117643857e+04
94;-3.189880089260e+05;-1.384573041757e+06;4.679917103938e+04
95;-3.192463784254e+05;-1.389306534535e+06;4.654464844569e+04
96;-3.195036902061e+05;-1.394006357253e+06;4.629629375336e+04
97;-3.197596437733e+05;-1.398669850764e+06;4.605297557578e+04
98;-3.200140264969e+05;-1.403300580221e+06;4.581572943574e+04
99;-3.202669212402e+05;-1.407899766213e+06;4.558521755491e+04
100;-3.205186263141e+05;-1.412467943710e+06;4.536018910413e+04
101;-3.207692143460e+05;-1.417004934855e+06;4.514218860282e+04
102;-3.210185431515e+05;-1.421507823131e+06;4.492988321510e+04
103;-3.212672155993e+05;-1.425978981553e+06;4.472415104772e+04
104;-3.215141108877e+05;-1.430419174186e+06;4.452471312902e+04
105;-3.217589692474e+05;-1.434827467148e+06;4.432979303931e+04
106;-3.220022191876e+05;-1.439205539111e+06;4.414115308024e+04
107;-3.222187901437e+05;-1.443065405394e+06;4.398509994160e+04
