inc;vf1;vf2;vf3
0;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00
1;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00
2;-3.354292630978e+02;-1.992297690101e+03;-6.103380726550e+03
3;-4.690081996266e+03;-2.989597431304e+04;-1.320276142482e+04
4;-9.908625577439e+03;-5.786192379450e+04;-1.182713860551e+04
5;-3.339821452780e+04;-1.534691656149e+05;-5.740090426361e+03
6;-6.448570321475e+04;-2.588129573058e+05;7.885923673096e+03
7;-8.784134305369e+04;-3.389745952333e+05;1.824817735435e+04
8;-1.044366572921e+05;-3.920278477877e+05;2.745131132316e+04
9;-1.224136929466e+05;-4.470523919542e+05;3.123469750518e+04
10;-1.420687102632e+05;-5.094520720998e+05;4.351760797806e+04
11;-1.626206979065e+05;-5.724729771514e+05;5.579952768783e+04
12;-1.847493259314e+05;-6.388015729719e+05;6.894699527924e+04
13;-2.020878339689e+05;-6.887570367187e+05;7.811383099534e+04
14;-2.170420372649e+05;-7.299034792317e+05;8.444205874943e+04
15;-2.295407774693e+05;-7.630132567827e+05;8.971907607041e+04
16;-2.401680384375e+05;-7.907778197757e+05;9.312866115662e+04
17;-2.496452068961e+05;-8.143024582229e+05;9.455334208760e+04
18;-2.578750557425e+05;-8.355735620572e+05;9.652195845149e+04
19;-2.648858075497e+05;-8.537779021802e+05;9.880303801574e+04
20;-2.711095671293e+05;-8.695362886579e+05;9.758227853703e+04
21;-2.766209269080e+05;-8.843078659768e+05;9.690975340644e+04
22;-2.813666414339e+05;-8.980082770924e+05;9.704859110120e+04
23;-2.856958702419e+05;-9.103164151013e+05;9.389272846000e+04
24;-2.893504173891e+05;-9.227485891070e+05;9.378075286785e+04
25;-2.924038061449e+05;-9.343100942429e+05;9.328316129383e+04
26;-2.948951535710e+05;-9.449916780392e+05;9.249329467194e+04
27;-2.969190581617e+05;-9.549696954053e+05;9.062881581899e+04
28;-2.985454757023e+05;-9.647034416487e+05;8.865528003970e+04
29;-2.996773930082e+05;-9.739547606275e+05;8.753965738008e+04
30;-3.005227607645e+05;-9.829297898247e+05;8.642542904081e+04
31;-3.011925330883e+05;-9.917348742523e+05;8.534019469808e+04
32;-3.017424993496e+05;-1.000365891353e+06;8.426870105665e+04
33;-3.022041862686e+05;-1.008849239896e+06;8.321390730059e+04
34;-3.026069058594e+05;-1.017185586462e+06;8.217905744687e+04
35;-3.029698772497e+05;-1.025385034933e+06;8.117616393169e+04
36;-3.033049863924e+05;-1.033461506959e+06;8.019840431287e+04
37;-3.036206897441e+05;-1.041419724795e+06;7.924909698300e+04
38;-3.039214390001e+05;-1.049255976350e+06;7.832667183385e+04
39;-3.042107732067e+05;-1.056986709127e+06;7.742882210461e+04
40;-3.044889333085e+05;-1.064605665115e+06;7.654764328895e+04
41;-3.047609151608e+05;-1.072132330466e+06;7.569692075539e+04
42;-3.050286119408e+05;-1.079395245624e+06;7.487163586566e+04
43;-3.052903497218e+05;-1.086537523479e+06;7.404920213519e+04
44;-3.055950589719e+05;-1.093746299257e+06;7.197447599030e+04
45;-3.058515001751e+05;-1.100920599496e+06;7.121776388164e+04
46;-3.061033347039e+05;-1.108002098498e+06;7.045822851591e+04
47;-3.063533555081e+05;-1.115006258207e+06;6.972707234634e+04
48;-3.066022447639e+05;-1.121935256526e+06;6.901707923278e+04
49;-3.068517669016e+05;-1.128791704232e+06;6.834061966207e+04
50;-3.070989376923e+05;-1.135565286900e+06;6.765643199103e+04
51;-3.073472847473e+05;-1.142273011618e+06;6.699199840283e+04
52;-3.075952176148e+05;-1.148852393297e+06;6.634794838261e+04
53;-3.078428126997e+05;-1.155216263091e+06;6.571464035633e+04
54;-3.081399353136e+05;-1.161559466515e+06;6.454555877293e+04
55;-3.083943641951e+05;-1.168024474183e+06;6.312351721850e+04
56;-3.086470395115e+05;-1.174412790095e+06;6.254071350861e+04
57;-3.088999659175e+05;-1.180746258147e+06;6.197614548742e+04
58;-3.091524826253e+05;-1.187020990961e+06;6.141740591782e+04
59;-3.094059379669e+05;-1.193244755273e+06;6.089383177269e+04
60;-3.096574451073e+05;-1.199390775175e+06;6.034429587293e+04
61;-3.099103087939e+05;-1.205496458397e+06;5.983188285731e+04
62;-3.101628927037e+05;-1.211537008636e+06;5.932488982721e+04
63;-3.104144805234e+05;-1.217520267669e+06;5.881783570954e+04
64;-3.106658378185e+05;-1.223447591294e+06;5.831681244534e+04
65;-3.109173424751e+05;-1.229324481070e+06;5.783468024445e+04
66;-3.111701358671e+05;-1.235160942486e+06;5.737559375761e+04
67;-3.114220930257e+05;-1.240938017124e+06;5.691583159048e+04
68;-3.116741381453e+05;-1.246661925209e+06;5.645475186767e+04
69;-3.119279490977e+05;-1.252348249060e+06;5.602800680627e+04
70;-3.121807633554e+05;-1.257968878127e+06;5.557637246357e+04
71;-3.124334242643e+05;-1.263552419364e+06;5.516343694072e+04
72;-3.126871444131e+05;-1.269087169504e+06;5.474947814852e+04
73;-3.129400989269e+05;-1.274591245171e+06;5.437229244247e+04
74;-3.131934365224e+05;-1.280033007407e+06;5.397483679816e+04
75;-3.134459498932e+05;-1.285422606407e+06;5.356867335939e+04
76;-3.136973912143e+05;-1.290771700989e+06;5.318578834640e+04
77;-3.139481570428e+05;-1.296085911478e+06;5.282472261492e+04
78;-3.141984644334e+05;-1.301356980006e+06;5.245922622679e+04
79;-3.144483356573e+05;-1.306577203083e+06;5.210137242070e+04
80;-3.146970462134e+05;-1.311762723027e+06;5.175649372080e+04
81;-3.149460361774e+05;-1.316892310600e+06;5.140245514318e+04
82;-3.151966700800e+05;-1.322001645191e+06;5.109021763824e+04
83;-3.154445062982e+05;-1.327046701776e+06;5.074954516010e+04
84;-3.156926324724e+05;-1.332077963178e+06;5.045660605249e+04
85;-3.159384200927e+05;-1.337050377784e+06;5.014229111719e+04
86;-3.161844635658e+05;-1.341989902492e+06;4.983630231154e+04
87;-3.164277656910e+05;-1.346891478070e+06;4.955139572231e+04
88;-3.166701914158e+05;-1.351752130562e+06;4.925818558895e+04
89;-3.169111006075e+05;-1.356571791306e+06;4.897111832766e+04
90;-3.171500443798e+05;-1.361351448874e+06;4.868335070376e+04
91;-3.173882556407e+05;-1.366115131698e+06;4.844101347789e+04
92;-3.176260280208e+05;-1.370829505892e+06;4.818698145450e+04
93;-3.178613186102e+05;-1.375484881023e+06;4.790911359948e+04
94;-3.180969833731e+05;-1.380132581746e+06;4.767838326607e+04
95;-3.183317672656e+05;-1.384730419132e+06;4.743456026972e+04
96;-3.185645392126e+05;-1.389288841408e+06;4.719298698509e+04
97;-3.187967929036e+05;-1.393839034798e+06;4.699910496696e+04
98;-3.190263601839e+05;-1.398318423227e+06;4.675561810192e+04
99;-3.192536018384e+05;-1.402764158304e+06;4.652013054538e+04
100;-3.194811593768e+05;-1.407204926756e+06;4.633413017737e+04
101;-3.197074096754e+05;-1.411613149339e+06;4.615632881214e+04
102;-3.199299185749e+05;-1.415952333951e+06;4.593455699598e+04
103;-3.201525367653e+05;-1.420277969533e+06;4.574378946819e+04
104;-3.203747052729e+05;-1.424580198090e+06;4.558748264452e+04
105;-3.205922915157e+05;-1.428822659139e+06;4.538764340293e+04
106;-3.208088137818e+05;-1.433041453102e+06;4.520598348309e+04
107;-3.209999579221e+05;-1.436758971751e+06;4.507087975150e+04
